Quantity,Part,Description,Source,Link,Price
1,FC+ESC,4-layer PCB A Economic HASL(leaded) finish 2 stencils w/ framework,JLCPCB,N/A: Please upload pcb/fabrication/gerbers.zip to https://www.jlcpcb.com/ to order,29.23
1,FC+ESC,IRIS PCB Components,LCSC,Please upload pcb/fabrication/BOM_Board1_PCB1.xlsx to https://www.lcsc.com/; alternatively see pcb/fabrication/BOM.md for LCSC links,103.21
1,Battery,1000 mAh 2S LiPo with XT60 connector,Admiral,https://motionrc.com/products/admiral-1000mah-2s-7-4v-30c-lipo-battery-with-xt60-connector-epr10002x6,9.99
1,Motors,4x 8000 kV 1103 Brushless DC,AliExpress,https://www.aliexpress.us/item/3256808118156099.html,23.99
1,Propellers,Gemfan 2512 2.5Inch 3-Blade 1.5mm Hole Propeller - 4CW+4CCW,Pyrodrone,https://pyrodrone.com/products/gemfan-2512-2-5inch-3-blade-1-5mm-2mm-hole-propeller-4cw-4ccw,4.99
1,Camera,OV2640 with SCCB cable,Arducam,https://www.arducam.com/ov2640-2-0-mp-mega-pixels-1-4-cmos-image-sensor-sccb-interface-camera-module.html,6.99
1,Heat-set inserts,M2x2.5mm 3.5mm OD Knurled Brass Threaded Heat Set Inserts,Rusty Bolt Shop,https://ebay.us/m/7A3cL3,1.70
1,Frame screws,M2x10mm screws,The Rusty Bolt Shop,https://ebay.us/m/wMPMiQ,2.02
1,Motor mount screws,M2x8mm screws,The Rusty Bolt Shop,https://ebay.us/m/UnEsMj,2.56
1,Vibration dampening foam,3M Double Coated Urethane Foam Tape 4056,Newegg,https://www.newegg.com/p/2VW-0006-00155?item=9SIA5D52U89288,14.99
